,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,43,0,17.27,clear sky
1,Rikitea,PF,-23.1203,-134.9692,74.37,78,48,19.82,scattered clouds
2,New Norfolk,AU,-42.7826,147.0587,47.71,56,100,1.01,overcast clouds
3,Hithadhoo,MV,-0.6,73.0833,83.52,76,99,18.19,overcast clouds
4,Ancud,CL,-41.8697,-73.8203,51.33,48,1,8.25,clear sky
5,Busselton,AU,-33.65,115.3333,38.05,70,83,4.59,broken clouds
6,Alyangula,AU,-13.8483,136.4192,79.21,77,17,8.48,few clouds
7,Paamiut,GL,61.994,-49.6678,36.41,72,7,11.21,clear sky
8,Severo-Kurilsk,RU,50.6789,156.125,42.69,85,38,23.64,light rain
9,Namibe,AO,-15.1961,12.1522,64.02,73,89,10.31,overcast clouds
10,Poptun,GT,16.3311,-89.4169,75.9,90,97,2.91,overcast clouds
11,Mangrol,IN,21.1167,70.1167,81.14,82,66,8.19,broken clouds
12,Isangel,VU,-19.55,169.2667,78.39,81,1,1.88,clear sky
13,Yatou,CN,37.15,122.3833,63.5,72,100,10.02,light rain
14,Camacha,PT,33.0833,-16.3333,68.76,64,20,11.5,few clouds
15,Kavieng,PG,-2.5744,150.7967,80.58,79,100,10.29,moderate rain
16,Butaritari,KI,3.0707,172.7902,81.81,69,17,14.41,few clouds
17,Hilo,US,19.7297,-155.09,83.28,77,75,4.61,light rain
18,Albany,US,42.6001,-73.9662,62.8,95,100,1.52,overcast clouds
19,Margate,GB,51.3813,1.3862,55.69,75,66,1.01,broken clouds
20,Yelan-Kolenovskiy,RU,51.1632,41.151,46.11,53,68,11.36,broken clouds
21,Bredasdorp,ZA,-34.5322,20.0403,57.27,93,11,8.9,few clouds
22,Olga,RU,43.7444,135.2892,38.12,81,2,6.71,clear sky
23,Lebu,CL,-37.6167,-73.65,52.79,71,0,23.71,clear sky
24,Ola,RU,59.5833,151.2833,26.1,59,0,11.25,clear sky
25,Souillac,MU,-20.5167,57.5167,71.37,94,20,4.61,light rain
26,Vao,NC,-22.6667,167.4833,71.28,90,20,2.82,few clouds
27,Husavik,IS,66.0449,-17.3389,36.27,78,100,3.8,overcast clouds
28,Mahajanga,MG,-15.7167,46.3167,77.47,82,7,4.14,moderate rain
29,Sao Sebastiao,BR,-23.76,-45.4097,67.37,94,100,5.26,overcast clouds
30,Lima,PE,-12.0432,-77.0282,65.14,85,75,1.01,broken clouds
31,Chokurdakh,RU,70.6333,147.9167,21.02,89,99,9.86,overcast clouds
32,Dikson,RU,73.5069,80.5464,36.52,95,100,19.51,overcast clouds
33,Vallenar,CL,-28.5708,-70.7581,76.78,25,0,8.72,clear sky
34,Saint-Augustin,CA,51.226,-58.6502,58.26,48,8,6.26,clear sky
35,Qaanaaq,GL,77.484,-69.3632,27.72,92,100,5.5,overcast clouds
36,Svetlaya,RU,46.5389,138.3297,41.65,68,0,8.23,clear sky
37,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,90,8.05,overcast clouds
38,Kiruna,SE,67.8557,20.2251,43.72,87,23,16.11,few clouds
39,Lompoc,US,34.6391,-120.4579,86.02,44,1,9.22,clear sky
